sma_config,h1_structure,m15_structure,vol_roc_level,candle_level,trades,wins,win_rate,avg_r
BULL,BULL,BULL,NORMAL,ABSORPTION,39,28,71.8,2.28
BEAR,BEAR,BEAR,ELEVATED,NORMAL,67,43,64.2,1.48
BULL,BULL,BEAR,ELEVATED,NORMAL,41,26,63.4,2.05
BULL,BULL,BEAR,NORMAL,NORMAL,131,81,61.8,1.35
BULL,BEAR,BULL,NORMAL,ABSORPTION,81,50,61.7,1.35
BULL,BEAR,BULL,NORMAL,NORMAL,26,16,61.5,1.85
BEAR,BEAR,BULL,NORMAL,NORMAL,42,25,59.5,1.95
BEAR,BEAR,BEAR,NORMAL,ABSORPTION,100,58,58.0,1.24
BEAR,BEAR,BULL,NORMAL,ABSORPTION,57,33,57.9,0.96
BULL,BEAR,BEAR,ELEVATED,NORMAL,37,21,56.8,1.57
BULL,BEAR,BEAR,NORMAL,ABSORPTION,115,61,53.0,0.9
BULL,BEAR,BEAR,NORMAL,NORMAL,123,65,52.8,1.1
BEAR,BULL,BULL,NORMAL,ABSORPTION,55,29,52.7,0.51
BEAR,BEAR,BEAR,NORMAL,NORMAL,140,72,51.4,0.96
BULL,BULL,BULL,NORMAL,NORMAL,123,57,46.3,0.4
BULL,BEAR,BEAR,NORMAL,LOW,20,9,45.0,0.45
BULL,BULL,BULL,ELEVATED,NORMAL,41,18,43.9,0.51
BULL,BULL,BEAR,NORMAL,ABSORPTION,105,46,43.8,0.51
BEAR,BULL,BEAR,ELEVATED,NORMAL,21,9,42.9,0.71
BEAR,BEAR,BULL,ELEVATED,ABSORPTION,26,11,42.3,1.08
BULL,BULL,BEAR,NORMAL,LOW,31,13,41.9,0.13
BEAR,BEAR,BEAR,NORMAL,LOW,36,15,41.7,1.11
BEAR,BEAR,BULL,ELEVATED,NORMAL,43,13,30.2,0.47
BEAR,BULL,BEAR,NORMAL,NORMAL,73,21,28.8,0.42
BEAR,BULL,BULL,NORMAL,NORMAL,129,30,23.3,-0.05
BEAR,BULL,BULL,ELEVATED,NORMAL,67,14,20.9,-0.06
BEAR,BULL,BEAR,NORMAL,ABSORPTION,74,7,9.5,-0.65
